antecedent,consequent,support,confidence,lift 
['8'],"['38', '17', '28']",0.1,0.19,1.06
['28'],"['8', '38', '17']",0.1,0.2,1.07
['17'],"['8', '38', '28']",0.1,0.21,1.07
"['8', '38']","['17', '28']",0.1,0.25,1.09
"['38', '28']","['8', '17']",0.1,0.25,1.11
"['38', '17']","['8', '28']",0.1,0.27,1.08
"['8', '28']","['38', '17']",0.1,0.39,1.08
"['8', '17']","['38', '28']",0.1,0.42,1.11
"['17', '28']","['8', '38']",0.1,0.42,1.09
"['8', '38', '28']",['17'],0.1,0.49,1.07
"['8', '38', '17']",['28'],0.1,0.52,1.07
"['38', '17', '28']",['8'],0.1,0.53,1.06
"['8', '17', '28']",['38'],0.1,0.81,1.08
['48'],"['8', '17', '28']",0.06,0.12,1.03
['8'],"['48', '17', '28']",0.06,0.13,1.05
['28'],"['48', '8', '17']",0.06,0.13,1.07
['17'],"['48', '8', '28']",0.06,0.14,0.99
"['48', '8']","['17', '28']",0.06,0.24,1.03
"['48', '28']","['8', '17']",0.06,0.24,1.04
"['48', '17']","['8', '28']",0.06,0.27,1.08
"['8', '28']","['48', '17']",0.06,0.26,1.08
"['8', '17']","['48', '28']",0.06,0.28,1.04
"['17', '28']","['48', '8']",0.06,0.28,1.03
"['48', '8', '28']",['17'],0.06,0.46,0.99
"['48', '8', '17']",['28'],0.06,0.52,1.07
"['48', '17', '28']",['8'],0.06,0.52,1.05
"['8', '17', '28']",['48'],0.06,0.55,1.03
['38'],"['48', '8', '17', '28']",0.05,0.07,1.12
['48'],"['8', '38', '17', '28']",0.05,0.1,1.07
['8'],"['48', '38', '17', '28']",0.05,0.11,1.06
['28'],"['48', '8', '38', '17']",0.05,0.11,1.1
['17'],"['48', '8', '38', '28']",0.05,0.12,1.05
"['48', '38']","['8', '17', '28']",0.05,0.13,1.12
"['8', '38']","['48', '17', '28']",0.05,0.14,1.15
"['38', '28']","['48', '8', '17']",0.05,0.14,1.17
"['38', '17']","['48', '8', '28']",0.05,0.15,1.08
"['48', '8']","['38', '17', '28']",0.05,0.2,1.1
"['48', '28']","['8', '38', '17']",0.05,0.2,1.1
"['48', '17']","['8', '38', '28']",0.05,0.23,1.17
"['8', '28']","['48', '38', '17']",0.05,0.22,1.14
"['8', '17']","['48', '38', '28']",0.05,0.24,1.09
"['17', '28']","['48', '8', '38']",0.05,0.24,1.11
"['48', '8', '38']","['17', '28']",0.05,0.25,1.11
"['48', '38', '28']","['8', '17']",0.05,0.25,1.09
"['48', '38', '17']","['8', '28']",0.05,0.28,1.14
"['8', '38', '28']","['48', '17']",0.05,0.28,1.17
"['8', '38', '17']","['48', '28']",0.05,0.3,1.1
"['38', '17', '28']","['48', '8']",0.05,0.3,1.1
"['48', '8', '28']","['38', '17']",0.05,0.39,1.08
"['48', '8', '17']","['38', '28']",0.05,0.44,1.17
"['48', '17', '28']","['8', '38']",0.05,0.44,1.15
"['8', '17', '28']","['48', '38']",0.05,0.46,1.12
"['48', '8', '38', '28']",['17'],0.05,0.48,1.05
"['48', '8', '38', '17']",['28'],0.05,0.54,1.1
"['48', '38', '17', '28']",['8'],0.05,0.53,1.06
"['8', '38', '17', '28']",['48'],0.05,0.57,1.07
"['48', '8', '17', '28']",['38'],0.05,0.85,1.12
['11'],"['8', '17', '28']",0.07,0.14,1.2
['8'],"['11', '17', '28']",0.07,0.15,1.14
['28'],"['11', '8', '17']",0.07,0.15,1.12
['17'],"['11', '8', '28']",0.07,0.16,1.1
"['11', '8']","['17', '28']",0.07,0.27,1.16
"['11', '28']","['8', '17']",0.07,0.28,1.23
"['11', '17']","['8', '28']",0.07,0.29,1.18
"['8', '28']","['11', '17']",0.07,0.3,1.18
"['8', '17']","['11', '28']",0.07,0.32,1.23
"['17', '28']","['11', '8']",0.07,0.32,1.16
"['11', '8', '28']",['17'],0.07,0.5,1.1
"['11', '8', '17']",['28'],0.07,0.55,1.12
"['11', '17', '28']",['8'],0.07,0.57,1.14
"['8', '17', '28']",['11'],0.07,0.62,1.2
['38'],"['11', '8', '17', '28']",0.06,0.08,1.08
['11'],"['8', '38', '17', '28']",0.06,0.12,1.2
['8'],"['11', '38', '17', '28']",0.06,0.12,1.15
['28'],"['11', '8', '38', '17']",0.06,0.12,1.12
['17'],"['11', '8', '38', '28']",0.06,0.13,1.13
"['11', '38']","['8', '17', '28']",0.06,0.15,1.25
"['8', '38']","['11', '17', '28']",0.06,0.16,1.2
"['38', '28']","['11', '8', '17']",0.06,0.16,1.18
"['38', '17']","['11', '8', '28']",0.06,0.17,1.15
"['11', '8']","['38', '17', '28']",0.06,0.22,1.18
"['11', '28']","['8', '38', '17']",0.06,0.23,1.25
"['11', '17']","['8', '38', '28']",0.06,0.24,1.22
"['8', '28']","['11', '38', '17']",0.06,0.24,1.19
"['8', '17']","['11', '38', '28']",0.06,0.26,1.26
"['17', '28']","['11', '8', '38']",0.06,0.26,1.2
"['11', '8', '38']","['17', '28']",0.06,0.27,1.2
"['11', '38', '28']","['8', '17']",0.06,0.29,1.26
"['11', '38', '17']","['8', '28']",0.06,0.3,1.19
"['8', '38', '28']","['11', '17']",0.06,0.31,1.22
"['8', '38', '17']","['11', '28']",0.06,0.33,1.25
"['38', '17', '28']","['11', '8']",0.06,0.33,1.18
"['11', '8', '28']","['38', '17']",0.06,0.41,1.15
"['11', '8', '17']","['38', '28']",0.06,0.45,1.18
"['11', '17', '28']","['8', '38']",0.06,0.46,1.2
"['8', '17', '28']","['11', '38']",0.06,0.51,1.25
"['11', '8', '38', '28']",['17'],0.06,0.52,1.13
"['11', '8', '38', '17']",['28'],0.06,0.55,1.12
"['11', '38', '17', '28']",['8'],0.06,0.57,1.15
"['8', '38', '17', '28']",['11'],0.06,0.62,1.2
"['11', '8', '17', '28']",['38'],0.06,0.81,1.08
['36'],"['11', '8', '17', '28']",0.05,0.08,1.12
['11'],"['8', '36', '17', '28']",0.05,0.1,1.2
['8'],"['11', '36', '17', '28']",0.05,0.1,1.17
['28'],"['11', '8', '36', '17']",0.05,0.11,1.17
['17'],"['11', '8', '36', '28']",0.05,0.11,1.16
"['11', '36']","['8', '17', '28']",0.05,0.15,1.28
"['8', '36']","['11', '17', '28']",0.05,0.16,1.24
"['36', '28']","['11', '8', '17']",0.05,0.16,1.2
"['36', '17']","['11', '8', '28']",0.05,0.18,1.2
"['11', '8']","['36', '17', '28']",0.05,0.19,1.21
"['11', '28']","['8', '36', '17']",0.05,0.2,1.3
"['11', '17']","['8', '36', '28']",0.05,0.21,1.23
"['8', '28']","['11', '36', '17']",0.05,0.21,1.24
"['8', '17']","['11', '36', '28']",0.05,0.23,1.3
"['17', '28']","['11', '8', '36']",0.05,0.23,1.26
"['11', '8', '36']","['17', '28']",0.05,0.29,1.26
"['11', '36', '28']","['8', '17']",0.05,0.3,1.3
"['11', '36', '17']","['8', '28']",0.05,0.31,1.24
"['8', '36', '28']","['11', '17']",0.05,0.31,1.23
"['8', '36', '17']","['11', '28']",0.05,0.34,1.3
"['36', '17', '28']","['11', '8']",0.05,0.34,1.21
"['11', '8', '28']","['36', '17']",0.05,0.35,1.2
"['11', '8', '17']","['36', '28']",0.05,0.38,1.2
"['11', '17', '28']","['8', '36']",0.05,0.4,1.24
"['8', '17', '28']","['11', '36']",0.05,0.44,1.28
"['11', '8', '36', '28']",['17'],0.05,0.53,1.16
"['11', '8', '36', '17']",['28'],0.05,0.57,1.17
"['11', '36', '17', '28']",['8'],0.05,0.58,1.17
"['8', '36', '17', '28']",['11'],0.05,0.62,1.2
"['11', '8', '17', '28']",['36'],0.05,0.7,1.12
['36'],"['8', '17', '28']",0.08,0.13,1.12
['8'],"['36', '17', '28']",0.08,0.17,1.08
['28'],"['8', '36', '17']",0.08,0.17,1.11
['17'],"['8', '36', '28']",0.08,0.18,1.08
"['8', '36']","['17', '28']",0.08,0.26,1.13
"['36', '28']","['8', '17']",0.08,0.26,1.13
"['36', '17']","['8', '28']",0.08,0.28,1.13
"['8', '28']","['36', '17']",0.08,0.33,1.13
"['8', '17']","['36', '28']",0.08,0.36,1.13
"['17', '28']","['8', '36']",0.08,0.36,1.13
"['8', '36', '28']",['17'],0.08,0.5,1.08
"['8', '36', '17']",['28'],0.08,0.54,1.11
"['36', '17', '28']",['8'],0.08,0.54,1.08
"['8', '17', '28']",['36'],0.08,0.7,1.12
['38'],"['8', '36', '17', '28']",0.07,0.09,1.08
['36'],"['8', '38', '17', '28']",0.07,0.11,1.12
['8'],"['38', '36', '17', '28']",0.07,0.14,1.09
['28'],"['8', '38', '36', '17']",0.07,0.14,1.1
['17'],"['8', '38', '36', '28']",0.07,0.15,1.11
"['38', '36']","['8', '17', '28']",0.07,0.14,1.18
"['8', '38']","['36', '17', '28']",0.07,0.18,1.14
"['38', '28']","['8', '36', '17']",0.07,0.18,1.17
"['38', '17']","['8', '36', '28']",0.07,0.19,1.13
"['8', '36']","['38', '17', '28']",0.07,0.21,1.15
"['36', '28']","['8', '38', '17']",0.07,0.21,1.15
"['36', '17']","['8', '38', '28']",0.07,0.23,1.17
"['8', '28']","['38', '36', '17']",0.07,0.27,1.15
"['8', '17']","['38', '36', '28']",0.07,0.29,1.18
"['17', '28']","['8', '38', '36']",0.07,0.3,1.16
"['8', '38', '36']","['17', '28']",0.07,0.26,1.16
"['38', '36', '28']","['8', '17']",0.07,0.27,1.18
"['38', '36', '17']","['8', '28']",0.07,0.29,1.15
"['8', '38', '28']","['36', '17']",0.07,0.35,1.17
"['8', '38', '17']","['36', '28']",0.07,0.37,1.15
"['38', '17', '28']","['8', '36']",0.07,0.37,1.15
"['8', '36', '28']","['38', '17']",0.07,0.4,1.13
"['8', '36', '17']","['38', '28']",0.07,0.44,1.17
"['36', '17', '28']","['8', '38']",0.07,0.44,1.14
"['8', '17', '28']","['38', '36']",0.07,0.57,1.18
"['8', '38', '36', '28']",['17'],0.07,0.51,1.11
"['8', '38', '36', '17']",['28'],0.07,0.54,1.1
"['38', '36', '17', '28']",['8'],0.07,0.54,1.09
"['8', '38', '17', '28']",['36'],0.07,0.7,1.12
"['8', '36', '17', '28']",['38'],0.07,0.81,1.08
['48'],"['17', '28']",0.12,0.23,1.02
['28'],"['48', '17']",0.12,0.25,1.06
['17'],"['48', '28']",0.12,0.27,1.0
"['48', '28']",['17'],0.12,0.46,1.0
"['48', '17']",['28'],0.12,0.52,1.06
"['17', '28']",['48'],0.12,0.54,1.02
['38'],"['48', '17', '28']",0.1,0.14,1.11
['48'],"['38', '17', '28']",0.1,0.2,1.07
['28'],"['48', '38', '17']",0.1,0.21,1.1
['17'],"['48', '38', '28']",0.1,0.23,1.03
"['48', '38']","['17', '28']",0.1,0.25,1.1
"['38', '28']","['48', '17']",0.1,0.27,1.15
"['38', '17']","['48', '28']",0.1,0.29,1.08
"['48', '28']","['38', '17']",0.1,0.38,1.08
"['48', '17']","['38', '28']",0.1,0.43,1.15
"['17', '28']","['48', '38']",0.1,0.46,1.1
"['48', '38', '28']",['17'],0.1,0.47,1.03
"['48', '38', '17']",['28'],0.1,0.54,1.1
"['38', '17', '28']",['48'],0.1,0.57,1.07
"['48', '17', '28']",['38'],0.1,0.84,1.11
['36'],"['48', '17', '28']",0.09,0.14,1.12
['48'],"['36', '17', '28']",0.09,0.16,1.07
['28'],"['48', '36', '17']",0.09,0.18,1.13
['17'],"['48', '36', '28']",0.09,0.19,1.08
"['48', '36']","['17', '28']",0.09,0.26,1.14
"['36', '28']","['48', '17']",0.09,0.27,1.15
"['36', '17']","['48', '28']",0.09,0.3,1.1
"['48', '28']","['36', '17']",0.09,0.32,1.1
"['48', '17']","['36', '28']",0.09,0.37,1.15
"['17', '28']","['48', '36']",0.09,0.38,1.14
"['48', '36', '28']",['17'],0.09,0.49,1.08
"['48', '36', '17']",['28'],0.09,0.55,1.13
"['36', '17', '28']",['48'],0.09,0.57,1.07
"['48', '17', '28']",['36'],0.09,0.71,1.12
['38'],"['48', '36', '17', '28']",0.07,0.1,1.12
['36'],"['48', '38', '17', '28']",0.07,0.12,1.14
['48'],"['38', '36', '17', '28']",0.07,0.14,1.13
['28'],"['48', '38', '36', '17']",0.07,0.15,1.15
['17'],"['48', '38', '36', '28']",0.07,0.16,1.11
"['38', '36']","['48', '17', '28']",0.07,0.15,1.24
"['48', '38']","['36', '17', '28']",0.07,0.18,1.17
"['38', '28']","['48', '36', '17']",0.07,0.2,1.24
"['38', '17']","['48', '36', '28']",0.07,0.21,1.17
"['48', '36']","['38', '17', '28']",0.07,0.22,1.21
"['36', '28']","['48', '38', '17']",0.07,0.23,1.21
"['36', '17']","['48', '38', '28']",0.07,0.25,1.15
"['48', '28']","['38', '36', '17']",0.07,0.28,1.18
"['48', '17']","['38', '36', '28']",0.07,0.31,1.25
"['17', '28']","['48', '38', '36']",0.07,0.33,1.22
"['48', '38', '36']","['17', '28']",0.07,0.28,1.22
"['38', '36', '28']","['48', '17']",0.07,0.3,1.25
"['38', '36', '17']","['48', '28']",0.07,0.32,1.18
"['48', '38', '28']","['36', '17']",0.07,0.34,1.15
"['48', '38', '17']","['36', '28']",0.07,0.39,1.21
"['38', '17', '28']","['48', '36']",0.07,0.41,1.21
"['48', '36', '28']","['38', '17']",0.07,0.42,1.17
"['48', '36', '17']","['38', '28']",0.07,0.47,1.24
"['36', '17', '28']","['48', '38']",0.07,0.48,1.17
"['48', '17', '28']","['38', '36']",0.07,0.6,1.24
"['48', '38', '36', '28']",['17'],0.07,0.51,1.11
"['48', '38', '36', '17']",['28'],0.07,0.56,1.15
"['38', '36', '17', '28']",['48'],0.07,0.6,1.13
"['48', '38', '17', '28']",['36'],0.07,0.72,1.14
"['48', '36', '17', '28']",['38'],0.07,0.85,1.12
['11'],"['17', '28']",0.13,0.25,1.09
['28'],"['11', '17']",0.13,0.27,1.06
['17'],"['11', '28']",0.13,0.28,1.08
"['11', '28']",['17'],0.13,0.5,1.08
"['11', '17']",['28'],0.13,0.52,1.06
"['17', '28']",['11'],0.13,0.57,1.09
['38'],"['11', '17', '28']",0.11,0.14,1.07
['11'],"['38', '17', '28']",0.11,0.2,1.1
['28'],"['11', '38', '17']",0.11,0.22,1.06
['17'],"['11', '38', '28']",0.11,0.23,1.11
"['11', '38']","['17', '28']",0.11,0.26,1.13
"['38', '28']","['11', '17']",0.11,0.28,1.1
"['38', '17']","['11', '28']",0.11,0.29,1.13
"['11', '28']","['38', '17']",0.11,0.4,1.13
"['11', '17']","['38', '28']",0.11,0.42,1.1
"['17', '28']","['11', '38']",0.11,0.46,1.13
"['11', '38', '28']",['17'],0.11,0.51,1.11
"['11', '38', '17']",['28'],0.11,0.52,1.06
"['38', '17', '28']",['11'],0.11,0.57,1.1
"['11', '17', '28']",['38'],0.11,0.81,1.07
['48'],"['11', '17', '28']",0.07,0.14,1.08
['11'],"['48', '17', '28']",0.07,0.14,1.15
['28'],"['48', '11', '17']",0.07,0.15,1.09
['17'],"['48', '11', '28']",0.07,0.16,1.07
"['48', '11']","['17', '28']",0.07,0.26,1.12
"['48', '28']","['11', '17']",0.07,0.27,1.09
"['48', '17']","['11', '28']",0.07,0.31,1.19
"['11', '28']","['48', '17']",0.07,0.28,1.19
"['11', '17']","['48', '28']",0.07,0.3,1.09
"['17', '28']","['48', '11']",0.07,0.33,1.12
"['48', '11', '28']",['17'],0.07,0.49,1.07
"['48', '11', '17']",['28'],0.07,0.53,1.09
"['48', '17', '28']",['11'],0.07,0.6,1.15
"['11', '17', '28']",['48'],0.07,0.57,1.08
['38'],"['48', '11', '17', '28']",0.06,0.08,1.1
['48'],"['11', '38', '17', '28']",0.06,0.12,1.11
['11'],"['48', '38', '17', '28']",0.06,0.12,1.14
['28'],"['48', '11', '38', '17']",0.06,0.13,1.11
['17'],"['48', '11', '38', '28']",0.06,0.13,1.11
"['48', '38']","['11', '17', '28']",0.06,0.15,1.15
"['11', '38']","['48', '17', '28']",0.06,0.15,1.22
"['38', '28']","['48', '11', '17']",0.06,0.16,1.17
"['38', '17']","['48', '11', '28']",0.06,0.17,1.14
"['48', '11']","['38', '17', '28']",0.06,0.21,1.16
"['48', '28']","['11', '38', '17']",0.06,0.23,1.13
"['48', '17']","['11', '38', '28']",0.06,0.26,1.25
"['11', '28']","['48', '38', '17']",0.06,0.24,1.22
"['11', '17']","['48', '38', '28']",0.06,0.25,1.12
"['17', '28']","['48', '11', '38']",0.06,0.27,1.18
"['48', '11', '38']","['17', '28']",0.06,0.27,1.18
"['48', '38', '28']","['11', '17']",0.06,0.28,1.12
"['48', '38', '17']","['11', '28']",0.06,0.32,1.22
"['11', '38', '28']","['48', '17']",0.06,0.3,1.25
"['11', '38', '17']","['48', '28']",0.06,0.31,1.13
"['38', '17', '28']","['48', '11']",0.06,0.34,1.16
"['48', '11', '28']","['38', '17']",0.06,0.41,1.14
"['48', '11', '17']","['38', '28']",0.06,0.44,1.17
"['48', '17', '28']","['11', '38']",0.06,0.5,1.22
"['11', '17', '28']","['48', '38']",0.06,0.48,1.15
"['48', '11', '38', '28']",['17'],0.06,0.51,1.11
"['48', '11', '38', '17']",['28'],0.06,0.54,1.11
"['48', '38', '17', '28']",['11'],0.06,0.59,1.14
"['11', '38', '17', '28']",['48'],0.06,0.59,1.11
"['48', '11', '17', '28']",['38'],0.06,0.83,1.1
['36'],"['48', '11', '17', '28']",0.06,0.09,1.18
['48'],"['11', '36', '17', '28']",0.06,0.1,1.17
['11'],"['48', '36', '17', '28']",0.06,0.11,1.21
['28'],"['48', '11', '36', '17']",0.06,0.11,1.16
['17'],"['48', '11', '36', '28']",0.06,0.12,1.16
"['48', '36']","['11', '17', '28']",0.06,0.16,1.27
"['11', '36']","['48', '17', '28']",0.06,0.16,1.3
"['36', '28']","['48', '11', '17']",0.06,0.17,1.24
"['36', '17']","['48', '11', '28']",0.06,0.19,1.24
"['48', '11']","['36', '17', '28']",0.06,0.19,1.23
"['48', '28']","['11', '36', '17']",0.06,0.2,1.22
"['48', '17']","['11', '36', '28']",0.06,0.23,1.32
"['11', '28']","['48', '36', '17']",0.06,0.21,1.33
"['11', '17']","['48', '36', '28']",0.06,0.22,1.24
"['17', '28']","['48', '11', '36']",0.06,0.24,1.26
"['48', '11', '36']","['17', '28']",0.06,0.29,1.26
"['48', '36', '28']","['11', '17']",0.06,0.31,1.24
"['48', '36', '17']","['11', '28']",0.06,0.35,1.33
"['11', '36', '28']","['48', '17']",0.06,0.32,1.32
"['11', '36', '17']","['48', '28']",0.06,0.33,1.22
"['36', '17', '28']","['48', '11']",0.06,0.36,1.23
"['48', '11', '28']","['36', '17']",0.06,0.37,1.24
"['48', '11', '17']","['36', '28']",0.06,0.4,1.24
"['48', '17', '28']","['11', '36']",0.06,0.44,1.3
"['11', '17', '28']","['48', '36']",0.06,0.43,1.27
"['48', '11', '36', '28']",['17'],0.06,0.53,1.16
"['48', '11', '36', '17']",['28'],0.06,0.57,1.16
"['48', '36', '17', '28']",['11'],0.06,0.63,1.21
"['11', '36', '17', '28']",['48'],0.06,0.62,1.17
"['48', '11', '17', '28']",['36'],0.06,0.74,1.18
['36'],"['11', '17', '28']",0.09,0.14,1.09
['11'],"['36', '17', '28']",0.09,0.17,1.11
['28'],"['11', '36', '17']",0.09,0.18,1.09
['17'],"['11', '36', '28']",0.09,0.19,1.11
"['11', '36']","['17', '28']",0.09,0.26,1.14
"['36', '28']","['11', '17']",0.09,0.28,1.11
"['36', '17']","['11', '28']",0.09,0.3,1.15
"['11', '28']","['36', '17']",0.09,0.34,1.15
"['11', '17']","['36', '28']",0.09,0.35,1.11
"['17', '28']","['11', '36']",0.09,0.39,1.14
"['11', '36', '28']",['17'],0.09,0.51,1.11
"['11', '36', '17']",['28'],0.09,0.53,1.09
"['36', '17', '28']",['11'],0.09,0.58,1.11
"['11', '17', '28']",['36'],0.09,0.69,1.09
['38'],"['11', '36', '17', '28']",0.07,0.1,1.08
['36'],"['11', '38', '17', '28']",0.07,0.12,1.1
['11'],"['38', '36', '17', '28']",0.07,0.14,1.12
['28'],"['11', '38', '36', '17']",0.07,0.15,1.09
['17'],"['11', '38', '36', '28']",0.07,0.16,1.15
"['38', '36']","['11', '17', '28']",0.07,0.15,1.15
"['11', '38']","['36', '17', '28']",0.07,0.18,1.16
"['38', '28']","['11', '36', '17']",0.07,0.19,1.15
"['38', '17']","['11', '36', '28']",0.07,0.2,1.17
"['11', '36']","['38', '17', '28']",0.07,0.21,1.16
"['36', '28']","['11', '38', '17']",0.07,0.23,1.12
"['36', '17']","['11', '38', '28']",0.07,0.25,1.19
"['11', '28']","['38', '36', '17']",0.07,0.28,1.18
"['11', '17']","['38', '36', '28']",0.07,0.29,1.15
"['17', '28']","['11', '38', '36']",0.07,0.32,1.18
"['11', '38', '36']","['17', '28']",0.07,0.27,1.18
"['38', '36', '28']","['11', '17']",0.07,0.29,1.15
"['38', '36', '17']","['11', '28']",0.07,0.31,1.18
"['11', '38', '28']","['36', '17']",0.07,0.35,1.19
"['11', '38', '17']","['36', '28']",0.07,0.36,1.12
"['38', '17', '28']","['11', '36']",0.07,0.4,1.16
"['11', '36', '28']","['38', '17']",0.07,0.42,1.17
"['11', '36', '17']","['38', '28']",0.07,0.43,1.15
"['36', '17', '28']","['11', '38']",0.07,0.47,1.16
"['11', '17', '28']","['38', '36']",0.07,0.56,1.15
"['11', '38', '36', '28']",['17'],0.07,0.53,1.15
"['11', '38', '36', '17']",['28'],0.07,0.53,1.09
"['38', '36', '17', '28']",['11'],0.07,0.58,1.12
"['11', '38', '17', '28']",['36'],0.07,0.69,1.1
"['11', '36', '17', '28']",['38'],0.07,0.82,1.08
['36'],"['17', '28']",0.15,0.25,1.08
['28'],"['36', '17']",0.15,0.32,1.07
['17'],"['36', '28']",0.15,0.34,1.05
"['36', '28']",['17'],0.15,0.48,1.05
"['36', '17']",['28'],0.15,0.52,1.07
"['17', '28']",['36'],0.15,0.67,1.08
['38'],"['36', '17', '28']",0.12,0.16,1.07
['36'],"['38', '17', '28']",0.12,0.2,1.08
['28'],"['38', '36', '17']",0.12,0.25,1.08
['17'],"['38', '36', '28']",0.12,0.27,1.09
"['38', '36']","['17', '28']",0.12,0.26,1.12
"['38', '28']","['36', '17']",0.12,0.33,1.11
"['38', '17']","['36', '28']",0.12,0.35,1.09
"['36', '28']","['38', '17']",0.12,0.39,1.09
"['36', '17']","['38', '28']",0.12,0.42,1.11
"['17', '28']","['38', '36']",0.12,0.54,1.12
"['38', '36', '28']",['17'],0.12,0.5,1.09
"['38', '36', '17']",['28'],0.12,0.53,1.08
"['38', '17', '28']",['36'],0.12,0.68,1.08
"['36', '17', '28']",['38'],0.12,0.81,1.07
['3'],['17'],0.23,0.47,1.03
['17'],['3'],0.23,0.5,1.03
['38'],"['17', '3']",0.18,0.24,1.06
['3'],"['38', '17']",0.18,0.38,1.06
['17'],"['38', '3']",0.18,0.4,1.07
"['38', '3']",['17'],0.18,0.49,1.07
"['38', '17']",['3'],0.18,0.52,1.06
"['17', '3']",['38'],0.18,0.8,1.06
['8'],"['17', '3']",0.11,0.23,1.0
['3'],"['8', '17']",0.11,0.23,1.02
['17'],"['8', '3']",0.11,0.25,1.01
"['8', '3']",['17'],0.11,0.46,1.01
"['8', '17']",['3'],0.11,0.5,1.02
"['17', '3']",['8'],0.11,0.5,1.0
['38'],"['8', '17', '3']",0.09,0.12,1.08
['8'],"['38', '17', '3']",0.09,0.19,1.02
['3'],"['8', '38', '17']",0.09,0.19,1.04
['17'],"['8', '38', '3']",0.09,0.2,1.05
"['8', '38']","['17', '3']",0.09,0.24,1.05
"['38', '3']","['8', '17']",0.09,0.25,1.08
"['38', '17']","['8', '3']",0.09,0.26,1.06
"['8', '3']","['38', '17']",0.09,0.38,1.06
"['8', '17']","['38', '3']",0.09,0.41,1.08
"['17', '3']","['8', '38']",0.09,0.41,1.05
"['8', '38', '3']",['17'],0.09,0.48,1.05
"['8', '38', '17']",['3'],0.09,0.51,1.04
"['38', '17', '3']",['8'],0.09,0.51,1.02
"['8', '17', '3']",['38'],0.09,0.82,1.08
['36'],"['8', '17', '3']",0.08,0.12,1.06
['8'],"['36', '17', '3']",0.08,0.15,1.02
['3'],"['8', '36', '17']",0.08,0.16,1.02
['17'],"['8', '36', '3']",0.08,0.17,1.01
"['8', '36']","['17', '3']",0.08,0.24,1.03
"['36', '3']","['8', '17']",0.08,0.24,1.06
"['36', '17']","['8', '3']",0.08,0.26,1.04
"['8', '3']","['36', '17']",0.08,0.31,1.04
"['8', '17']","['36', '3']",0.08,0.33,1.06
"['17', '3']","['8', '36']",0.08,0.33,1.03
"['8', '36', '3']",['17'],0.08,0.46,1.01
"['8', '36', '17']",['3'],0.08,0.5,1.02
"['36', '17', '3']",['8'],0.08,0.51,1.02
"['8', '17', '3']",['36'],0.08,0.67,1.06
['38'],"['8', '36', '17', '3']",0.06,0.09,1.12
['36'],"['8', '38', '17', '3']",0.06,0.1,1.1
['8'],"['38', '36', '17', '3']",0.06,0.13,1.05
['3'],"['8', '38', '36', '17']",0.06,0.13,1.06
['17'],"['8', '38', '36', '3']",0.06,0.14,1.05
"['38', '36']","['8', '17', '3']",0.06,0.13,1.17
"['8', '38']","['36', '17', '3']",0.06,0.17,1.12
"['38', '3']","['8', '36', '17']",0.06,0.17,1.13
"['38', '17']","['8', '36', '3']",0.06,0.18,1.1
"['8', '36']","['38', '17', '3']",0.06,0.2,1.09
"['36', '3']","['8', '38', '17']",0.06,0.21,1.12
"['36', '17']","['8', '38', '3']",0.06,0.22,1.13
"['8', '3']","['38', '36', '17']",0.06,0.26,1.11
"['8', '17']","['38', '36', '3']",0.06,0.28,1.13
"['17', '3']","['8', '38', '36']",0.06,0.28,1.1
"['8', '38', '36']","['17', '3']",0.06,0.25,1.1
"['38', '36', '3']","['8', '17']",0.06,0.26,1.13
"['38', '36', '17']","['8', '3']",0.06,0.27,1.11
"['8', '38', '3']","['36', '17']",0.06,0.33,1.13
"['8', '38', '17']","['36', '3']",0.06,0.35,1.12
"['38', '17', '3']","['8', '36']",0.06,0.35,1.09
"['8', '36', '3']","['38', '17']",0.06,0.39,1.1
"['8', '36', '17']","['38', '3']",0.06,0.42,1.13
"['36', '17', '3']","['8', '38']",0.06,0.43,1.12
"['8', '17', '3']","['38', '36']",0.06,0.57,1.17
"['8', '38', '36', '3']",['17'],0.06,0.48,1.05
"['8', '38', '36', '17']",['3'],0.06,0.51,1.06
"['38', '36', '17', '3']",['8'],0.06,0.52,1.05
"['8', '38', '17', '3']",['36'],0.06,0.69,1.1
"['8', '36', '17', '3']",['38'],0.06,0.85,1.12
['48'],"['8', '17', '3']",0.06,0.11,1.01
['8'],"['48', '17', '3']",0.06,0.12,1.0
['3'],"['48', '8', '17']",0.06,0.13,1.01
['17'],"['48', '8', '3']",0.06,0.13,0.98
"['48', '8']","['17', '3']",0.06,0.22,0.97
"['48', '3']","['8', '17']",0.06,0.23,1.0
"['48', '17']","['8', '3']",0.06,0.25,1.03
"['8', '3']","['48', '17']",0.06,0.25,1.03
"['8', '17']","['48', '3']",0.06,0.26,1.0
"['17', '3']","['48', '8']",0.06,0.26,0.97
"['48', '8', '3']",['17'],0.06,0.45,0.98
"['48', '8', '17']",['3'],0.06,0.49,1.01
"['48', '17', '3']",['8'],0.06,0.5,1.0
"['8', '17', '3']",['48'],0.06,0.53,1.01
['38'],"['48', '8', '17', '3']",0.05,0.07,1.13
['48'],"['8', '38', '17', '3']",0.05,0.1,1.05
['8'],"['48', '38', '17', '3']",0.05,0.1,1.01
['3'],"['48', '8', '38', '17']",0.05,0.11,1.04
['17'],"['48', '8', '38', '3']",0.05,0.11,1.03
"['48', '38']","['8', '17', '3']",0.05,0.13,1.1
"['8', '38']","['48', '17', '3']",0.05,0.13,1.1
